Word,Conversions,Hops
#NAME?,#NAME?,12
#NAME?,#NAME?,5
#NAME?,#NAME?,4
#NAME?,#NAME?,9
#NAME?,#NAME?,8
#NAME?,#NAME?,6
#NAME?,#NAME?,2
#NAME?,#NAME?,14
#NAME?,#NAME?,7
#NAME?,#NAME?,16
#NAME?,#NAME?,7
#NAME?,#NAME?,6
#NAME?,#NAME?,5
#NAME?,#NAME?,4
#NAME?,#NAME?,2
PYE,PYE PUE POE PIE PEE TYE,6
PYE,PYE PUE POE PIE PEE TYE SYE RYE NYE LYE HYE GYE EYE,13
